id,emp_id,current_loc,base_loc,wfh_enabled,active
6439,99520641,0b51edba-c916-4cbd-9c7f-1cb2cb7cd2b7,4E9817D2,y,y
6712,36249654,5ed5346d-ae61-4774-8ea9-1bcf09f2fd37,184389A0,y,n
5141,49874261,7a092004-3567-4c25-b2e9-61b5935e19b9,BB05428A,n,n
9542,85658727,31c2b7a9-c2f3-4bb4-bc16-1d8cdbf2837a,88852E8E,y,y
6125,74711465,186e97df-1667-49f6-bade-d2e6ef33e703,C43CA9E3,y,y
7188,65565147,08d172e8-a5bc-4c48-8e83-ed917e76a004,322167CC,y,n
8024,3298945,5528c62a-2c24-482c-ac29-3841840fa188,C30A7140,n,n
5545,16602149,01ce3cbc-3a6b-41d3-9374-b0001c92d8ff,6DC2CD2C,y,y
5467,26301409,53f79dc0-ad9e-4f69-9ae0-e2cf121a5d4d,9037278A,y,y
3463,54449413,e24ffca3-6944-4dbe-82ce-0a3646de86ad,40DF295A,y,n
1698,43002544,d7ed3927-55fe-4e69-8441-eb16c5653038,5D068952,n,n
647,3805456,6eb93081-1140-4ec9-a369-3c8092b61861,CB1A9218,y,y
4469,77013779,d4ff4a9d-7953-4ad9-ba80-bc9ee21d61c7,F9EE43BA,y,y
4954,11542842,5f88229f-23f6-49d2-9660-f318d73bc4d1,FE14CB8D,y,n
5235,71063583,f2ce9afc-1940-4a5b-8824-aec7d08715ee,83BC80BD,n,n
6332,57673209,2494c191-4fcd-41f8-b802-a2d9fc3dc727,C7044671,y,y
1396,8743529,c39d1e0f-2827-46c9-9636-751cfacf3cfc,A2C1B56B,y,y
8189,43664391,1bfb421b-3f1a-44c3-9f31-09cae46c03f3,6FEE05CA,y,n
390,74178201,cc4559dc-6ebc-4cff-b0ce-98ff16a1d960,24B9274E,n,n
7569,5292702,c2378dac-c477-4c2e-b731-6d3ec0e03cb1,D20305CA,y,y
5798,22446583,ba870d29-19c2-4ede-9618-b907fa53d878,B6999BBA,y,y
9555,39870257,020147a4-4f59-49fc-a6cd-bbdacfea6457,C134F2E7,y,n
3999,34061568,ac7720a6-e448-4b79-a9cf-4bc1d0f26209,03EFCB41,n,n
3923,24401188,fab90fc4-c207-4918-aa1a-4f1b888ea0f3,004EF9A1,y,y
4519,57311006,9f53ba49-2901-4739-8b86-90666004ec91,9275883F,y,y
7798,65662631,cd54abb3-0549-4c8c-956c-022843312603,6F445FEF,y,n
9487,71221069,f7a99f66-ef05-4937-8d1d-8224df84fce4,23C7917C,n,n
5206,57607801,4d8c2c09-b1b3-4577-a086-0a84cded5ad3,5CE2D5CA,y,y
1262,33977536,b32e0dfd-9c66-40b2-8b99-c7f308ae4759,DA9285D3,y,y
6735,15909411,b10a760a-73ef-4085-b03d-890713fe1254,9C7B1A22,y,n
2184,86258196,049c83fa-ee6e-43f0-80b4-7450ce2248f3,57591D04,n,n
3118,82598880,74e58b81-721c-4bbf-96fb-0c56029db68c,6A2F0506,y,y
7063,53993444,b411f897-ab6a-4497-8d09-87d8b49bb98f,D40BD399,y,y
5845,89075691,9a07bcdc-3c77-4fa6-8fdd-3210d377e8a3,8C524817,y,n
8483,21529721,ea3613c1-13ca-4bc0-b83a-535e2994c935,862BA8EB,n,n
